Nothing here, but you're warm.	這裡沒什麼，但你很接近了。
Nothing here, you're warm.	這裡沒什麼，你接近了。
Nothing here, you're cold.	這裡沒什麼，你很遠。
Nothing here, you're frigid.	這裡沒什麼，你冷透了。
The cave opening is too small and the rocks are too hard for you to be able to enter.	山洞入口太小，岩石太堅硬，你進不去。
The rocks are too large and heavy to move.	岩石太大太重，無法移動。
You can't do that.  Maybe in the next game.  We're getting behind schedule.	你做不到。也許下一部遊戲可以。我們進度落後了。
Looks like no one has the stomach to fight you.	看起來沒人敢跟你打。
The rock are too large and heavy to move.	岩石太大太重，無法移動。
You find 4 silvers tucked in his tunic.  He has no use for the silvers.  Into your pocket they go.	你在他的外衣裡找到 4 枚銀幣。他用不著。錢進你的口袋。
The poor slob was the big loser at the poker game.  He didn't even have lunch money.	那傢伙在撲克遊戲中大輸。他連午餐費都沒有。
It's your lucky day, this was the big winner at last night's poker game.  You take his 35 silvers.	你的幸運日子，昨晚撲克遊戲的大贏家。你拿了他 35 枚銀幣。
You've know he's broke.	你知道他沒錢了。
"You'll fight all right."	「你一定會打的。」
Looking at the Centaur's muscles, his hoe, and his four gleaming hooves, you get the feeling that hostility is not the best of ideas.	看著半人馬的肌肉、他的鋤頭和四隻閃閃發光的蹄子，你覺得和他對抗不是個好主意。
There's a world of difference between a horse and a Centaur!	馬和半人馬是天壤之別！
The Centaur is half man, half horse.	半人馬是半人半馬。
Go ahead.  Ask him something.	去吧。問他點什麼。
"I am Heinrich Pferdefedern.  I live in town with my daughter Hilde, who sells our produce on Market Street."	「我是海因里希·費德費德恩。我和我女兒希爾德住在鎮上，她在市場街賣我們的農產品。」
I'm sorry.  I know little about the Baron and his family.	對不起。我不太了解男爵和他的家族。
"There are a few carrots and potatoes left from last season, but I'm just starting to plant this year's crops."	「去年剩下一些胡蘿蔔和馬鈴薯，但我才剛開始種今年的莊稼。」
"I can grow enough on this little plot to feed my family and the village.  You should see this field at harvest time!"	「我在這小塊地上能種出足夠養活我的家族和村子的糧食。你應該看看收穫時的景象！」
"They nearly killed me.  My right leg was broken, and there is no pride for a Centaur who cannot run."	「他們差點殺死我。我的右腿被打斷，對半人馬來說，不能奔跑就沒有尊嚴。」
"If it had not been for the unlikely intervention of their leader, I would be dead."	「如果不是他們的首領意外出手，我早就死了。」
"The leader came up while the brigands attacked me and forced them to stop, ordering them not to hurt people from the town."	「首領在山賊襲擊我時現身，強行讓他們停手，命令他們不要傷害鎮上的人。」
"Then, to my amazement, the leader gave me a Healing Potion and had me carried to the Healer's house."	「然後，令我驚訝的是，首領給了我一瓶治療藥水，還讓人把我送到治療師的屋子。」
"It was hard to judge the leader, whose face was obscured by a large helm, but there was compassion unlike a brigand."	「很難判斷首領的真面目，大頭盔遮住了臉，但那份同情心一點都不像山賊。」
"Fields must be carefully tended to produce the best crops."	「田地要細心照料才能長出最好的莊稼。」
"Our stand is in the northeast corner of Spielburg.  The produce is not of the finest this time of year, but you will not find better than Pferdefedern fruit come harvest time."	「我們的攤位在史畢柏格的東北角。這季節的農產品不是最好的，但到了收穫時，你找不到比費德費德恩果實更好的。」
We grow fine fruit in our little orchard, and sell it at our stand in town.  There you will find fresh cherries in the spring, peaches in summer, and apples in the fall."	「我們在小果園裡種優質水果，在鎮上的攤位賣。春天有新鮮櫻桃，夏天有桃子，秋天有蘋果。」
"I'm afraid I can't tell you much about that."	「我恐怕幫不了你。」
You're not in a good spot for climbing the wall.	你現在的位置不適合爬牆。
The trees have tiny fruit forming.	樹上長著小果子。
The forest surrounds the farmer's small fields and orchard.	森林圍繞著農民的小田地和果園。
The crops have yet to be planted.  There are only a few weeds and some grasses at edge of the forest.	莊稼還沒種。森林邊緣只有幾株雜草和野草。
You can see the roofs of Spielburg beyond the town wall.	你能看到城牆外史畢柏格的屋頂。
You can see a small house.	你能看到一棟小屋。
Beyond the farmer's orchard, you see the forest.	越過農民的果園，你看到森林。
You can't tell what it is from down on the ground.	從地面上你看不出是什麼。
It looks like a golden ring, flashing in the sunlight.	看起來像一枚金戒指，在陽光下閃爍。
The ring appears to be made of fine gold.	這枚戒指看起來是精製的黃金。
You retrieve the ring you dropped.	你撿起掉下的戒指。
You'll think of something.	你會想到辦法。
Go check out the nest.	去看看那個巢。
How can you get something you can't see?.	你看不見的東西怎麼拿？
Climb the tree first.	先爬樹。
There's nothing out on the limb to risk your neck over.	樹枝上沒什麼值得冒險的。
It'll be tough.	會很難。
Ooooops!	哎呀！
You think about it, but you decide to keep it in your pack.	你想了想，決定把它放在背包裡。
You don't have a clear shot.	你沒有清楚的射擊角度。
Move to a better position.	移動到更好的位置。
That spell is no longer useful here.	那個法術在這裡沒用了。
You hear the inside bolt slide open.	你聽到裡面的門栓滑開。
"Come on in."	「進來吧。」
You don't have a rock to throw.	你沒有石頭可扔。
You throw a rock into the air...	你把一塊石頭扔向空中……
Wait to see if you hit something.	等著看你是否擊中了什麼。
That won't accomplish anything.	那樣什麼也做不了。
You don't see any good hand or foot holds on this side of the tree.  Maybe it's better on the other side.	你看不到樹的這一側有好的手足著力點。也許另一邊更好。
You're already up the tree.	你已經爬上樹了。
You're not in a position to climb down.	你現在的位置不適合往下爬。
Climb what?	爬什麼？
You don't want to climb that.	你不想爬那個。
The healer might be able to use them, but you can't.	治療師也許用得上，但你不行。
It's gone.	它不見了。
It's been destroyed.	它被毀了。
On either side of the road are a large oak and a hut.	路的兩邊各有一棵大橡樹和一間小屋。
The road itself leads north to a castle in the distance and south to the crossroads.	這條路本身向北通往遠處的城堡，向南通往十字路口。
The apothecary bottle indicates that the occupant is skilled with potions.	藥瓶表明住在這裡的人懂得配製藥水。
There is a nest on a single limb that seems to reach out toward the hut.	樹的一條樹枝上有一個巢，似乎伸向小屋。
The oak tree has one dead limb.	橡樹有一條枯死的樹枝。
The hut's roof is made of thatched straw.	小屋的屋頂是茅草做的。
To the south is the crossroads in front of the town gate.	南邊是城鎮大門前的十字路口。
You see the glinting object in the remains of the nest.	你看到巢的殘骸裡有閃閃發光的東西。
"I cannot make you another Dispel Potion unless you can convince the Dryad to give you another magic acorn.  I do not think that is likely.	「除非你能說服樹精給你另一顆魔法橡實，否則我無法給你配製驅咒藥水。我覺得這不太可能。
Please leave me to make the potion and when you return I shall have it for you.	請讓我配製藥水，等你回來時我就給你。
You pay the Healer for the potion and put it away.	你為藥水付錢給治療師，把它放起來。
You find that you have less money than you thought.  You can't afford to buy the potion.	你發現你的錢比想的要少。你買不起這瓶藥水。
You see a clean, but very cluttered little hut filled with bottles and potions.  The Healer is busy puttering around with her potions.	你看到一間整潔但凌亂的小屋，裡面擺滿瓶瓶罐罐和藥水。治療師正忙著擺弄她的藥水。
There is a small flying creature preening itself .  A ladder leads to the loft above.  A pot over the fire simmers with herbs.  It is pleasantly warm in here.	有一隻小飛行生物在梳理羽毛。一架梯子通向上面的閣樓。火上的鍋裡燉著草藥。這裡溫暖舒適。
Whatever is boiling there is either soup or some sort of potion.	不管那鍋裡煮的是什麼，要麼是湯，要麼是某種藥水。
It looks like a ladder.	看起來像一架梯子。
You can look but don't touch.	你可以看，但別摸。
A rather motherly-looking woman with a look of vagueness that belies her shrewdness.  She wears an apron over her dress and a scarf wrapped around her head.	一位看起來相當慈祥的女性，眼神飄遠，但掩蓋不住她的精明。她穿著圍裙，頭上纏著頭巾。
"Those fairies are cute, but they play rough!"	「那些妖精很可愛，但調皮得很！」
"It is shaped in gold like a braid of the herb Althelas with entwined leaves."	「它是用黃金製成的，形狀像柄草植物的辮子，葉子交纏在一起。」
"I don't know how I lost it.  I hardly ever take it off."	「我不知道怎麼丟的。我幾乎從不摘下來。」
"You already have your reward."	「你已經得到你的獎勵了。」
"I will give six golds to the person who returns my ring.  It was a gift when I graduated from the college of Healing."	「誰把我的戒指還給我，我就給誰六枚金幣。這是我從治療學院畢業時的禮物。」
"I will pay you for Cheetaur claws, Troll beard, magic mushrooms, and flowers from Erana's Peace."	「我會買獵豹人的爪子、巨魔的鬍鬚、魔法蘑菇和伊瑞娜的安寧之地的花。」
"I use them to make my potions."	「我用它們配製藥水。」
Magic Potions restore the energy needed to cast spells."	「法力藥水能恢復施法所需的能量。」
"I make up potions that heal injuries.  I will be happy to sell you a Healing Potion if you like."	「我配製治療藥水。如果你需要，我很樂意賣你治療藥水。」
"I make and sell Healing Potions, Magic Potions, Vigor Potions and Undead Unguent."	「我配製和販賣治療藥水、法力藥水、活力藥水和不死藥膏。」
"The Potions will cost you: \n            Healing Potion 40 silvers \n            Magic Potion 60 silvers \n            Vigor Potion 20 silvers \n            Undead Unguent 100 silvers."	「藥水的價格如下：\n            治療藥水 40 銀幣\n            法力藥水 60 銀幣\n            活力藥水 20 銀幣\n            不死藥膏 100 銀幣。」
"Undead Unguent is used to drive off the minor undead such as zombies or floating spirits.  It doesn't last long, so you should use it only when you are anticipating an encounter with such things."	「不死藥膏用來驅趕小型不死生物，比如殭屍或浮靈。效果不會維持太久，所以只在預計會遇到這類東西時使用。」
