They don't seem to be paying any attention to you.	他們好像根本沒注意你。
These guys are so intent on their game that they don't want to open their mouths on any other subject.	這些傢伙專心玩遊戲，對其他話題絕口不提。
It looks like these guys aren't playing with a full deck.	看起來這些傢伙智商不是很高。
The bartender calls to Crusher:  "Hey, he's not one of us!  Take care of him!"	酒保對 Crusher 叫道：「嘿，他不是我們這兒的！去收拾他！」
Good idea, but you're in the wrong movie.	好主意，但你搞錯電影了。
You thank the bartender and pay him for your beverage.	你感謝酒保並為飲料付錢。
He says, "Hey Crusher! Get this deadbeat bum outta here!"	他說：「嘿，Crusher！把這個窮光蛋趕出去！」
The man on the west side of the table is wearing a blood-stained apron, like a butcher.	桌子西邊的男人穿著沾血的圍裙，像個屠夫。
The man on the east has on a baker's hat.	東邊的男人戴著麵包師的帽子。
This goon looks really tough and mean. He's not someone to pick a fight with.	這個打手看起來很凶狠。不是個好惹的。
Someone has carved into the bottom of the table\n" G. MEISTER slept here".	有人在桌子下面刻著\n「G. MEISTER 在此睡過」。
So this is where the barber goes to lunch! The guy's had so much liquid diet, he looks embalmed.	所以理髮師就在這裡吃午飯！這傢伙喝了那麼多，看起來都已經防腐了。
Not a pleasant sight!	真是不堪入目！
The world-famous Troll's Sweat is always fresh.	名聞遐邇的 Troll's Sweat 總是很新鮮。
Dragon's Breath is the house specialty, and it's Crusher's personal favorite.	Dragon's Breath 是這裡的招牌飲品，也是 Crusher 的最愛。
Nothing but a dirty floor.	只不過是髒兮兮的地板。
This dark, seedy place is less than you expected of a Thieves' Guild.	這個陰暗破舊的地方還不如你對盜賊公會的想像。
The man seated by the table greets you with a scowl;  Crusher is his usual, amiable self;  and you can't quite make out what lurks behind that massive door.	坐在桌邊的男人用皺眉臉迎接你；Crusher 依舊親切如常；而那扇大門後面究竟藏著什麼，你看不太出來。
You feel uneasy about the sinister mood here.	你對這裡的不祥氣氛感到不安。
"I don't have time to talk to unlicensed scum.  Pay your guild license fee, and then we can talk."	「我沒時間跟沒執照的廢物說話。先繳公會會費，我們再談。」
"I can't hear you.  Please come a little closer to the window."	「我聽不清。請靠近窗戶一些。」
From his expensive clothes to his carefully trimmed mustache, there is an air of sophistication to this villain.	從他的昂貴衣著到精心修剪的鬍子，這個壞蛋身上散發著品味。
