Introduction	序章
Start New Hero	建立新英雄
Restore Game	讀取進度
Go to Town	前往城鎮
Continue Normally	正常繼續
Where to, Hero?    	英雄，要往哪去？
The software you are now using was produced through the efforts of many people: designers, artists, programmers, musicians, and lots of other hard-working folks.	您現在使用的這套軟體，是由許多人共同努力打造的成果：設計師、美術、程式設計師、音樂家，以及許多辛勤付出的夥伴。
If you make copies of this software for any reason other than to make a personal backup, you are not only breaking the law, but raising the cost of software for all legitimate users.  PLEASE DO NOT MAKE ILLEGAL COPIES OF THIS GAME!  	若你基於個人備份以外的任何理由複製本軟體，不僅觸犯法律，更會推高所有正當使用者的軟體成本。請勿非法複製本遊戲！
Oh, by the way . . .  You will need the information contained in the printed documentation to successfully complete this game.  In other words, it's not just the law . . . It's a good idea. 	對了…你會需要印刷手冊裡的資訊，才能順利完成本遊戲。換句話說，這不只是法律問題…也是個好主意。
10 minute rest	休息 10 分鐘
30 minute rest	休息 30 分鐘
60 minute rest	休息 60 分鐘
Sleep all night 	睡到天亮
Stay awake    	保持清醒
You just can't sleep during the daytime.	你在白天就是睡不著。
You awake as the sun begins to rise.	你在旭日初升時醒來。
How long, Hero? 	要多久呢，英雄？
You're too impatient to rest right now.	你現在太焦躁，靜不下來休息。
After %d minutes rest, you feel better.  	休息了%d分鐘後，你感覺好多了。
Your hunger has been totally satisfied.  You don't need another piece of fruit.	你已經完全飽了。不需要再吃水果了。
The fruit is very soft and juicy. It would be impossible to keep in your pack.	這水果軟軟的、很多汁，根本沒辦法帶在包裡。
The stone has been moved.	石頭被挪開了。
The large stone appears to be ancient and deliberately placed.  Marks carved into the stone almost look like writing.	這塊大石頭看起來很古老，還是刻意放在這裡的。石頭上刻的痕跡看起來幾乎像是某種文字。
In a hole, hidden beneath the ancient stone, someone has placed a scroll.	在這塊古老石頭下方的洞裡，有人放了一卷捲軸。
You took the scroll.	你拿起了捲軸。
The stone has the words "Erana's Peace" carved upon the top.  There are some runes carved along the side. 	石頭的頂端刻著「伊瑞娜的安寧之地」字樣。側面還刻著一些符文。
It reads:  "If thy Will is Magic, so shall I share.  Open this Stone and claim what is there."	內容寫著：「若汝意志乃魔法者，吾願與爾分享。開啟此石，領取所有寶藏。」
The hole that was beneath the stone is empty. 	原本在石頭下方的洞現在是空的。
No amount of physical effort will be able to move this stone.	再怎麼費力氣也動不了這塊石頭。
The grasses in the meadow are covered over with flowers.	草地上鋪滿了鮮花。
All kinds of colorful and fragrant flowers and grasses cover the meadow.	各式各樣的繽紛花朵和香草覆蓋著整個草地。
The meadow is an oasis at the edge of the snowline.  The rocky hillside looks very steep and slippery.	這個草地是雪線邊緣的綠洲。岩石山坡看起來陡峭又滑溜。
You have all the flowers you need.	你已經有了需要的花朵。
As you pick a variety of the sweet-smelling flowers, they seem to glow in your hands.  You put them safely away.	當你摘下各式各樣香氣四溢的花朵時，它們在你手上似乎閃閃發光。你小心地把它們放好。
You take another handful of the lovely, fragrant flowers.	你又摘了一把香氣迷人的花朵。
This entire area is magical.  In particular, the fruit on the tree radiates magic, and you sense that a spell has been placed on the large stone.  All of the magic has a warm, nurturing feel to it.	整個區域都充滿魔法。特別是樹上的果實散發著魔法氣息，你感覺大石頭上也被施加了某種魔法。所有這些魔法都給人溫暖、滋養的感受。
