Where did all the pretty horses go?	漂亮的馬都到哪去了?
Hmm, that was interesting.  But it would probably not be a good idea to repeat the experience.	嗯，那很有趣。但重複那種經驗可能不是個好主意。
You don't need to do that right now.	你現在不需要這樣做。
Your senses gradually return to normal.	你的感官逐漸恢復正常。
You ingest a few of the mushrooms from the Fairy Ring.  They taste delicious.	你吃下妖精環的幾顆蘑菇。它們嚐起來很美味。
Wow!  Look at all the nice paisley horses!	哇!看看所有漂亮的西洋花紋馬!
Not to mention the beautiful neon sky.	更別說那美麗的霓虹天空。
The mushrooms from the Fairy Ring are pretty good, so you hear.  However, when they're mixed with Kobold toadstools... that's a horse of a different color.	據你所聽，妖精環的蘑菇相當不錯。不過，當它們與地精菌類混在一起時...那就另當別論了。
You eat some of the Kobold's fungus.  Within seconds your insides feel like they're on fire.  Guess you're not a Kobold, huh?	你吃了一些地精的菌類。幾秒內你的內臟就像著火一樣。看來你不是地精，是吧?
Didn't anyone warn you about eating other people's food?  Death by Toadstools doesn't leave mushroom for improvement.	沒人警告你不要吃別人的食物嗎?被菌類毒死不會讓人進步。
You think that you'd better take it easy for a while until you recover.	你認為你最好休息一陣子，直到康復為止。
Play it again, Ludwig.	再彈一次，路德維希。
You read it again and puzzle over its meaning.	你再讀一次，思考它的意義。
They're nice, but they don't go with your outfit.	它們很漂亮，但與你的裝扮不搭。
The rations are tasteless but filling.	口糧沒味道但很飽。
It's not your size.	這不是你的尺寸。
After wiping the plant saliva from it, you examine the large seed.	擦掉上面的植物分泌物後，你檢查這顆大種子。
That wasn't quite what the Surgeon General meant when he suggested you use a shield.	這不太是醫療總署長建議你拿盾牌時的意思。
You check to see if your money's still there. Yep, it is.	你查看你的錢是否還在。是的，在。
The drink is invigorating.	這飲料令人精神振奮。
You prepare to fall on your sword, but you finally decide that it would be uncomfortable.	你準備自刎，但最後決定那會不舒服。
You remain amazed at the number and versatility of the little gimcracks and thingamabobs inside your thief's tool kit.	你對盜賊工具包內小工具和各種小玩意兒的數量和多功能性依然驚嘆。
The picture on your thief's license doesn't look a bit like you.	你的盜賊執照上的照片完全不像你。
You try on the troll beard, but the goat-like smell convinces you to remain clean-shaven for a while.	你試戴巨魔的鬍子，但那羊一樣的味道使你決定暫時保持光潔。
The vase makes an even worse hat than the candelabra.	花瓶作為帽子比燭台更糟。
You eat some vegetables.  You think they would have been better saved for cows or horses.  Real Heroes eat preserved dry rations.	你吃了一些蔬菜。你認為它們本應留給牛或馬。真正的英雄吃乾糧。
Mumble, mumble... overworked... mumble... underpaid... mumble, mumble... no control over my life...	碎碎念...累死了...碎碎念...薪水太少...碎碎念...對人生無法掌控...
You pour the contents of the flask all over.  Maybe you're not doing this right.	你把烈酒瓶的內容物倒得滿地。也許你做得不對。
There's no point in trying to use one of those there.	沒有必要試著在那邊用那個。
It's not much to look at.	它看起來沒什麼。
To whom were you trying to speak?	你想跟誰說話?
There's nothing to do there.	那邊沒什麼可做的。
Your money's no good here.	你的錢在這邊沒用。
Aggressive, aren't you?	你很好戰嘛?
Picky, picky, picky.	挑剔，挑剔，挑剔。
You fought so hard for this key, you just can't bear to part with it.	你為這把鑰匙奮力戰鬥，捨不得放手。
You might be able to get some money for the candelabra, but, other than that, it's useless.	你也許能靠燭台換一些錢，不過除此之外，它沒用。
Behind the velvet curtains is an alcove leading to the offices of the Baron.	絲絨窗簾後有一個通往男爵辦公室的小拐角。
"I sincerely hope you will continue your valiant adventures in our land.  If anyone can rid the land of brigands, it will be you."	「我衷心希望你能在我們的土地上繼續英勇的冒險。如果有人能清除山賊，那就是你。」
"Someday in the near future, I can envision holding a ceremony in your honor and bestowing upon you the title, `Hero of Spielburg'."	「不久的將來某一天，我能想像為你舉辦典禮，並賜予你『史畢柏格英雄』的頭銜。」
"As you leave the castle tomorrow, you will receive the reward money I long ago posted for the safe return of my son, as a token of my thanks."	「當你明天離開城堡時，你將收到我早前為兒子安全歸來而懸賞的獎金，作為我感謝的表證。」
"You will, of course, be expected to dine with us and be our guest in the castle tonight."	「當然，你將被期待與我們共進晚宴，並在城堡內作我們的客人過夜。」
"Words cannot express the gratitude I have towards you."	「言語無法表達我對你的感謝。」
"Not only have you freed the Baronet from enchantment and allowed my son to return to me, but you have renewed my hope that the curse may be lifted."	「你不僅解除了男爵之子的魔咒，讓我的兒子回到我身邊，還使我重新燃起詛咒被解除的希望。」
"My son, Baronet Barnard von Spielburg, also desires to acknowledge his indebtedness."	「我的兒子，史畢柏格男爵之子巴納德，也想表達他的感謝。」
"Barnard."	「巴納德。」
"Do you have any questions?"	「你有任何問題嗎?」
"A servant is awaiting you outside to show you to your quarters.  We will see you at supper later."	「有個僕人在外面等著帶你到你的房間。我們晚餐時見。」
"Furthermore, I understand you have rid our valley of a dangerous Kobold Magic User in order to free the Baronet von Spielburg."	「此外，我瞭解你消滅了一個危險的地精法師來解救史畢柏格男爵之子。」
"You risked your life to singlehandedly defeat the foul Spellcaster.  You are a true hero, and I thank you."	「你冒著生命危險獨自擊敗了邪惡的咒語使者。你是真正的英雄，我感謝你。」
"The Baron von Spielburg looks like he was once a strong man, but sorrow has aged him greatly."	「史畢柏格男爵看起來曾是個強人，但悲傷已經使他蒼老了許多。」
"Curse"	「詛咒」
"Daughter"	「女兒」
"Brigand Leader"	「山賊首領」
"Prophecy"	「預言」
"I have attempted everything in my power to get her to go away.  I fear it will take some kind of magic to be able to counteract her magic."	「我已竭盡所能要她離開。我擔心需要某種魔法才能對抗她的魔法。」
"I am Stefan von Spielburg, 12th Baron of Spielburg castle."	「我是史蒂芬·馮·史畢柏格，史畢柏格城堡的第 12 任男爵。」
"If I had more guards, I would wipe the brigands out myself now that I have my son at my side."	「如果我有更多守衛，既然有我的兒子在身邊，我會親自消滅山賊。」
"It will take some time before this castle and land have recovered from my sorrow, so I still think it will take a Hero to destroy the brigands."	「城堡和領地需要一些時間才能從我的悲傷中恢復，所以我仍然認為需要一個英雄來摧毀山賊。」
"I know they have some kind of fortress at the far south of the valley.  I have heard rumors they have set up an ambush for all that approach."	「我知道他們在山谷的最南端有某種要塞。我聽說他們已為所有接近的人設置了埋伏。」
"It is also rumored that there is another way into their fortress, but I have no further knowledge about it."	「還有傳言說有另一條進入他們要塞的路，但我沒有更多的資訊。」
"This castle has been in the family for two centuries now as a gift from King Siegfried the Third."	「這座城堡現在已經是我們家族 200 年的古蹟，是齊格弗里德三世國王的禮物。」
"Some years back, I tried to force the Ogress Baba Yaga to leave our valley and she put a curse upon me that I should lose everything I held dear."	「多年前，我試圖強行讓食人妖芭芭雅嘎離開我們的山谷，她對我施加了詛咒，使我失去一切所愛的事物。」
"When I lost my daughter and my son, I lost all interest in living.  My lands suffered because I suffered."	「當我失去女兒和兒子時，我對生活失去了所有興趣。我的領地因為我的痛苦而受苦。」
"Now, though, with the return of my son, I trust the prophecy is about to come true, thanks to you."	「不過，現在隨著我兒子的歸來，我相信預言就要應驗了，感謝你。」
"My beautiful little daughter was stolen away ten years ago by Baba Yaga's magic.  She has never been found, despite all the searching that has been done for her."	「我美麗的小女兒十年前被芭芭雅嘎的魔法奪走了。儘管進行了各種搜尋，她一直沒有被找到。」
"I thought she was lost forever, but you have renewed my hope that I will again have her beside me."	「我以為她永遠丟失了，但你重新點燃了我再次擁有她的希望。」
"There have always been brigands around, but until the leader and the warlock showed up a few years ago, they were not much of a problem."	「一直都有山賊，但直到幾年前首領和巫師出現，他們才成為大問題。」
