Unfortunately, the Mantray appears not to have been affected by your spell.	不幸的是，魔鬼魟似乎沒有受到你的咒語影響。
You find %d silver coins, and carefully place them in your pouch.	你找到了 %d 枚銀幣，小心翼翼地放進荷包裡。
You find a single silver coin, carefully polish it, and place it in your pouch.  What a way to make a living!	你找到了一枚銀幣，小心翼翼地擦拭它，然後放進荷包裡。  真是謀生的好辦法！
What a waste!  No treasure!	真是浪費！  沒有寶藏！
Some of the Cheetaur's claws have been broken off or damaged, apparently in battle.  You remove the remaining claws and put them away in your pack. 	獵豹人的一些爪子已被打斷或損壞，顯然是在戰鬥中。  你移除了剩下的爪子並放進背包。
You thought that the Troll might have concealed some of its treasure in that thick beard, but you didn't find any there. 	你原以為巨魔可能在那厚厚的鬍子裡藏了些寶藏，但你什麼都沒找到。
Uh oh, this looks like one of the brigands that have been terrorizing the Valley.  Better hope his friends aren't around.	哎呀，這看起來像是一直在騷擾山谷的山賊中的一個。  最好希望他的朋友不在附近。
It's a Cheetaur, a Cheetah Centaur, one of the deadliest creatures in the land.  Hope you've saved your game recently.	這是獵豹人，一種獵豹半人馬，陸地上最致命的生物之一。  希望你最近存檔了。
Oh, no!  It's a fierce (and hungry) looking Saurus Rex (smarter than your average Saurus).	哦，天哪！  這是一隻兇猛（且飢餓）的索魯斯雷克斯（比普通索魯斯更聰明）。
It's an ugly little Goblin.	這是一隻醜陋的小哥布林。
It's dead, of course.	當然，它已經死了。
It doesn't smell very good, either.	它的味道也不太好。
It's a Mantray, a former sea creature that took flight many generations ago and moved to the mountains.  Don't get stung!	這是魔鬼魟，一種多代前飛上天空並遷移到山脈的海生生物。  小心別被刺中！
It's an Ogre, big, mean, and ugly. Ogres are said to eat human flesh.	這是食人妖，又大又兇又醜。  據說食人妖會吃人肉。
It's a Program Bug!	這是程式漏洞！
Don't worry, it's just a little purple Saurus.  Watch out for those teeth though.	別擔心，只是一隻小紫色索魯斯。  不過要小心那些牙齒。
It's a Troll, hard as stone.	這是巨魔，堅硬如石。
You can't help but smell it.	你不禁聞到了它。
You don't know that spell. 	你不知道那個咒語。
You cannot escape this encounter.	你無法逃脫這次遭遇。
You cannot make the arcane gestures to cast spells while carrying your shield.	你無法在持盾牌時做出施法的奧秘手勢。
"Take care!"	「保重！」
"Say 'Hi' to the Dryad for us!" 	「替我們向樹精問好！」
"Bye bye!  See ya!" 	「拜拜！  回見！」
"Kiss a tree for me!" 	「替我親吻一棵樹！」
The gate is securely barred.  It's apparently an Otto-matic gate, since it would take a Goon to open it.   	這扇門被牢牢地鎖住了。  顯然是一個奧圖式自動門，因為需要一個食人妖才能打開它。
