You can just see a thin thread of light under the door, so there is probably someone inside.	你隱約看到門下傳來一絲光線，所以可能裡面有人。
The Guild Hall building appears to be dark and closed up. 	冒險者公會的建築看起來很暗，而且關門了。
You enter the Adventurers' Guild Hall.	你進入了冒險者公會大廳。
The door appears to be locked.	門看起來被鎖上了。
Your dirk doesn't work on the door. 	你的短匕首在這扇門上沒有用。
That key doesn't fit this lock. 	那把鑰匙不適合這個鎖。
Judging from what the sign says, the building at the end of the street is the Guild Hall.	根據標誌上的內容判斷，街道盡頭的建築就是冒險者公會。
This looks like a nice, neat little house.  There is a grandmotherly Little Old Lady rocking on the front porch. 	這看起來是一棟漂亮、整潔的小房子。有一位溫暖如祖母般的老奶奶在前廊搖椅上搖晃。
The house looks closed up.  There is no sign of the Little Old Lady.	房子看起來關門了。看不到那位老奶奶。
The door appears to be locked, and there is no answer to your knock.  The occupant is out (right in front of you, in fact).	門看起來被鎖上了，敲門也沒人應。住戶不在（其實就在你正前方）。
No one seems to be home, and the door is securely locked.	似乎沒人在家，門也鎖得很牢。
This isn't the best place to practice for your woodcarving merit badge.	這裡不是練習木雕獎章的最好地方。
The key doesn't fit.	鑰匙不適合。
She's the only sane person here.  At least she's not off her rocker. 	她是這裡唯一清醒的人。至少她還沒失心瘋。
The little old lady is sleeping so soundly that no amount of shaking will awaken her.	這位老奶奶睡得很沉，再怎麼搖也叫不醒她。
She's really sleeping soundly and doesn't notice your presence.	她睡得真沉，沒注意到你的存在。
"ZZZZZZZZZZZZZZZZZZZZ!" 	「呼呼呼呼呼呼呼呼呼呼呼呼！」
"Grmpf..snrt..hmphspft!" 	「唔嚯…唔…唔普！」
The eye over the Magic Shop door seems to be watching you.	魔法店門上的眼睛似乎在盯著你看。
However, this was not a good place to sleep.  You're stiff and sore all over and your wallet feels very light.	不過，這裡不是睡覺的好地方。你全身酸痛，錢包也變輕了不少。
Picking locks looked a lot easier in the instruction book.	開鎖在教科書裡看起來容易多了。
The door isn't locked.  Just turn around.	門沒鎖。轉身就行了。
The owners seem to have been made nervous by the recent rash of house burglaries.  The door is barred from the inside.  But you do get some valuable lock-picking practice.	業主似乎被最近頻繁的入室盜竊嚇得神經兮兮。門從裡面被擋住了。但你確實獲得了寶貴的開鎖練習。
You hear a "Snick!".  The lock is open!	你聽到了「卡！」一聲。鎖打開了！
You have come to the end of the main street.  The town wall is to the south. You have an eerie feeling that someone is watching you. 	你來到了主街的盡頭。城牆在南邊。你有種被誰盯著的怪異感覺。
There's no getting around it... a shop with its eye on you makes you nervous. 	無可奈何…一家眼睛盯著你的店鋪讓你神經緊張。
Not the sturdiest lock you've ever seen.	不是你見過最堅固的鎖。
This is certainly a weird one!  You've never seen anything quite like it.	這肯定很詭異！你從未見過這樣的東西。
The plaque reads: "Antwerp -- slain by Two Guys From Andromeda". 	銘牌上寫著：「安特衛普——被仙女座來的兩個傢伙殺死」。
A past adventurer's armor suit.  You wonder why he doesn't need it any more. (Then you see the Cheetaur claw marks.) 	一套過去冒險者的盔甲。你想知道他為什麼不再需要它。（然後你看到了獵豹人的爪痕。）
The armor won't fit you -- they made them smaller in those days. 	盔甲不適合你——他們那時做得比較小。
On the table is an old but ornate leather-bound book.  There is also a quill pen in the ink bottle.  	桌上有一本舊但華麗的皮革精裝書。墨瓶裡還有一支鵝毛筆。
The writing on this page is very recent.  It says "I, %s, have come to Spielburg to become a hero." 	這頁上的字跡很新。它寫著「我，%s，來到史畢柏格成為英雄。」
This entry was made several years ago. It says: 'Baronet Barnard von Spielburg killed a Troll near the Flying Falls on this 23rd day of Octember'.  	這項記錄是幾年前寫的。它寫著：「子爵巴納德·馮·史畢柏格在十月二十三日在飛瀑附近殺死了一隻巨魔」。
The other pages record the exploits of the great adventurers of Spielburg's past.  The names Wolfgang Abenteuer and Baron Stefan von Spielburg appear most often.	其他頁面記錄了史畢柏格過去偉大冒險者的事蹟。沃夫岡·阿本特爾和史蒂芬·馮·史畢柏格男爵的名字最常出現。
The remaining pages are blank, awaiting further tales of adventure.	剩下的頁面是空白的，等待更多冒險故事。
You sign your name into the Adventurer's Log Book with a flourish. 	你在冒險者日誌中簽下你的名字，做得很瀟灑。
But you've already done that!	但你已經做過了！
The fine crystal chandelier lights the room.  	精緻的水晶吊燈照亮了房間。
You can't reach it. 	你摸不著。
The head is like a panther's, but with a strong human-like quality.  It is still rather frightening. 	這頭像豹子的頭，但帶著強烈的人類特質。看起來還是很嚇人。
The plaque reads: "Cheetaur -- slain by Wolfgang Abenteuer".	銘牌上寫著：「獵豹人——被沃夫岡·阿本特爾殺死」。
The table holds a pen, an inkwell, and the Adventurer's Guild Registration and Log Book. 	桌上放著一支筆、墨瓶和冒險者公會登記冊及日誌。
The table is formed from fine fir wood.  There's nothing you need here. 	桌子是用優質冷杉木製成的。這裡沒有你需要的東西。
Even in death, this monster remains awesome. 	即使死了，這隻怪物仍然令人敬畏。
The plaque reads: "Dragon -- slain by Baron Stefan von Spielburg".	銘牌上寫著：「龍——被史蒂芬·馮·史畢柏格男爵殺死」。
The fire blazing cheerily in the fireplace helps warm the Guild Master's old bones.	壁爐裡歡快燃燒的火焰幫助溫暖了公會主人的老骨頭。
You feel like you're frying your fingers.  Forget it.	你覺得你的手指要烤焦了。算了。
This crossbreed of eagle and lion could have torn a man apart when it was alive.	這隻鷲獅雜交獸活著的時候可能能撕裂一個人。
The plaque reads: "Gryphon -- slain by Wolfgang Abenteuer". 	銘牌上寫著：「獅鷲——被沃夫岡·阿本特爾殺死」。
The plaque under the Moose says: "Courtesy of the Sierra Online Prop Dept." 	駝鹿下的銘牌寫著：「蒙《Sierra Online》道具部提供」。
The tapestry is so rotten, it would probably fall apart at the slightest touch.  	掛毯爛得很厲害，稍微一碰可能就會散開。
The tapestry feels very old and very fragile.	掛毯摸起來非常古老，也非常脆弱。
This Adventurer's Guild Hall reminds you of the one in your home town.  The traditional Moose head and other stuffed monsters (Saurus, Troll, Gryphon, Dragon, Cheetaur, and the terrible Antwerp) adorn the walls. 	這個冒險者公會大廳讓你想起你家鄉的那個。傳統的駝鹿頭和其他標本怪物（索魯斯、巨魔、獅鷲、龍、獵豹人和可怕的安特衛普）裝飾著牆壁。
You see a registration book on the table, and the bulletin board full of job listings.  The man seated near the window must be the Guild Master.  He is snoring.   	你看到桌上有本登記冊，公告板上滿是工作清單。坐在窗邊的男人一定是公會主人。他在打呼。
There is nothing here that you need, and the Guild Master may be more aware than he seems. 	這裡沒有你需要的東西，公會主人可能比看起來更清醒。
The Guild Hall would be barren if you took the trophies.  Besides, they're out of reach.	如果你拿走獎杯，公會大廳就會空蕩蕩的。而且，它們也夠不著。
You never saw a purple Saurus before you came to Spielburg, but it looks like a really stupid monster. 	來史畢柏格之前，你從未見過紫色的索魯斯，但它看起來像一隻非常愚蠢的怪物。
